Product ID	sku	category	product name	image	price	size	color	description
5591	80248	Home Decor	Lapp Topper Vinyl & Plastic Lap Desk	http://www.stacksandstacks-static.com/images/product/reg-80248.jpg	43.99	"5""H x 23""W x 16""D"	Burgundy	"Looking for a lap desk with storage? The Burgundy Lapp Topper features an 8-inch-deep pocket for keeping all those little necessities at hand - eyeglasses, tissues, pens, notepad, etc. Other unique features include a dishwasher-safe reversible cup holder/tray that rolls in and out easily, a non-slip mat, and a soft, flexible bottom that molds to the shape of your lap. This unique lap tray lets you eat, write, draw, and use your laptop computer in comfort anywhere. Lap desks are also handy for paying bills, playing solitaire, doing crosswords, giving yourself a manicure, and whatever else you'd use a table or tray for. The Lapp Topper lapdesk provides instant desk space at home, outdoors, in your car, or wherever you like to work in a relaxed environment.  The Lapp Topper is the perfect portable work surface!"
5570	80249	Furniture	Clear Vinyl Chair Protectors - Set of 2	http://www.stacksandstacks-static.com/images/product/80249_bu.jpg	8.25	"Fits Chairs up to 21"" x 21"""	Clear	"An easy way to keep your dining chairs looking like new.  These transparent heavy duty vinyl seat covers protect and display the beauty of your dining room chair upholstery.  No more worries about spilled wine or messy food -  chair protectors take the stress out of eating and drinking for children and adults.  Your chair seats will stay stain-free so you can relax and enjoy your meals! Spills and drips wipe off easily, letting you save on cleaning bills.  Each chair protector is made of durable, thick, clear vinyl and designed for years of use. Fits most chair seats up to 21"" x 21"". Comes as a set of 2 seat protectors.  Dimensions: 26"" x 26"" each. These covers can be taped or stapled to your chairs."
5572	80250	Home Decor	Stair Treads-Carpet Style - Set of 4 - Beige	http://www.stacksandstacks-static.com/images/product/reg-80250.jpg	29.99	"27.5""W x 8.5""L"	Beige	"Protect your wooden stairs and entryways from wear and tear with this set of 4 non-slip stair treads. Reminiscent of the braided rugs from America's early years, these carpet stair treads add a warm look to the home while protecting wood from scratches, dirt and wear. Stair protectors feature non-skid backs so you can simply put them in place for temporary installation. Carpet tacks (included) can be used for permanent installation of stair treads."
5574	80252	Home Decor	Carpet Stair Treads - set of 4 - Green	http://www.stacksandstacks-static.com/images/product/reg-80252.jpg	29.99	"27.5""W x 8.5""L"	Green	"Protect your wooden stairs and entryways from wear and tear with this set of 4 non-slip stair treads. Reminiscent of the braided rugs from America's early years, these carpet stair treads add a warm look to the home while protecting wood from scratches, dirt and wear. Stair protectors feature non-skid backs so you can simply put them in place for temporary installation. Carpet tacks (included) can be used for permanent installation of stair treads."
5571	80253	Home Decor	Carpet Stair Treads - set of 4 - Navy Blue	http://www.stacksandstacks-static.com/images/product/80253.jpg	29.99	"27.5""W x 8.5""L"	Navy	"Protect your wooden stairs and entryways from wear and tear with this set of 4 non-slip stair treads. Reminiscent of the braided rugs from America's early years, these carpet stair treads add a warm look to the home while protecting wood from scratches, dirt and wear. Stair protectors feature non-skid backs so you can simply put them in place for temporary installation. Carpet tacks (included) can be used for permanent installation of stair treads."
4888	80257	Furniture	Outdoor Furniture Cover - Chaise Cover	http://www.stacksandstacks-static.com/images/product/80258.JPG	17.99	"76""L x 27""W x 33""H"	White	"Don't bring in your outdoor furniture every time it looks like a storm brewing... leave them outside, even through winter! These patio chaise covers have no cloth backing that would promote mildew. These furniture tarps are pliable to -20 degrees Fahrenheit, and have double-stitched seams. Tear-resistant, 3-ply tarpaulin material is mesh-reinforced and laminated between two UV-stabilized polyethylene layers. Nylon tie-downs secure covers against strong winds. Rust-resistant grommets in double-layered hems. Full-cut fit. "
2149	80258	Furniture	Outdoor Furniture Cover - Chair Cover	http://www.stacksandstacks-static.com/images/product/80258.JPG	11.99	"33""D x 33""H x 27""W"	White	"Don't bring in your outdoor furniture every time it looks like a storm brewing... leave them outside, even through winter! These patio chair covers have no cloth backing that would promote mildew. These furniture tarps are pliable to -20 degrees Fahrenheit, and have double-stitched seams. Tear-resistant, 3-ply tarpaulin material is mesh-reinforced and laminated between two UV-stabilized polyethylene layers. Nylon tie-downs secure covers against strong winds. Rust-resistant grommets in double-layered hems. Full-cut fit. "
3255	80259	Furniture	Outdoor Furniture Cover - High Back Chair Cover	http://www.stacksandstacks-static.com/images/product/80258.JPG	12.99	"30""D x 42""H x 27""W"	White	"Don't bring in your outdoor furniture every time it looks like a storm brewing... leave them outside, even through winter! These high back chair covers have no cloth backing that would promote mildew. These furniture tarps are pliable to -20 degrees Fahrenheit, and have double-stitched seams. Tear-resistant, 3-ply tarpaulin material is mesh-reinforced and laminated between two UV-stabilized polyethylene layers. Nylon tie-downs secure covers against strong winds. Rust-resistant grommets in double-layered hems. Full-cut fit. "
789	80288	Bedroom	Jewelry Cleaner - La Sonic Supreme	http://www.stacksandstacks-static.com/images/product/reg-1221864632-80288.jpg	31.99	"6.5""w x 4.5""h x 5""d"	White	"The La Sonic Jewelry Cleaner is the safe and effective way to clean your fine jewelry. This amazing jewelry cleaner features two tanks, one for cleansing and the other for rinsing. The tanks are easy to remove and clean, one packet of cleansing solution (more solution can be purchased through the manufacturer), touch up brush, and a drying cloth are also included. The top has a storage area for the drying cloth and touch up brush and there is cord storage in the bottom. The sonic jewelry cleaner has two speeds regular and delicate. The jewelry care guide explains the different speeds for different types of jewelry. Antiqued silver, emeralds, and pearls should not be cleaned in this machine due to their very delicate nature. Easy to operate. Two-year limited warranty.  For use with gold, silver, gold and silver plate, and most precious and semi-precious stone jewelry."
7632	80316	Office	Magnifier - Dome	http://www.stacksandstacks-static.com/images/product/80316.jpg	38.99	"1 3/4""H x 3""Diam"	Clear	"The Dome magnifier is formed from lightweight, solid acrylic that provides distortion-free 4x magnification.  Perfect for reading magazines, maps, contracts, and other reading material, the magnifying glass is self-focusing to provide superlative image clarity.  This reading magnifier illuminates without batteries with an innovative optical engineering and precision lens.  Glide this magnifier glass effortlessly across any surface for strain-free enlargement of fine print.  Includes polishing pouch.  Discover the ease of reading small print with the Dome magnifier glass!"
9344	80318	Outdoor	Instant Screen Door	http://www.stacksandstacks-static.com/images/product/reg-80318.jpg	12.99	"84.6"" H x 37.4"" W"	White	"Enjoy a fresh breeze blowing through your home, without the hassle of pesky insects with the Instant Screen Door!  This mesh front door screen has a foldable frame and installs in just minutes.  The portable screen door creates a barrier against unwanted pests while giving you the freedom to leave the front door open for better home ventilation.  Fits all standard doors up to 30"" wide.  Installs with heavy duty velcro tape (not included). Simply line one side of the door jamb with one side of the velcro tape, using the other side of the tape to line the screen door. Then, affix the two together, and presto! Instant screen door! Bring this screen door home as a temporary or permanent solution!"
9592	80325	Home Decor	Table Topics - Conversation Topics Game	http://www.stacksandstacks-static.com/images/product/reg-80325.jpg	25	"4"" H x 4"" W x 4"" D"	Red	"Spice up your conversations with these Table Topics. Stylish enough to live on your tabletop, these excellent conversation starters make the most out of the moment with thought provoking topics and questions that are perfect for breaking the ice at cocktail parties, family dinners or just spending time with that special someone. Discover something new about your family, friends and even yourself."
2021	8081	Garage	Tool Rack w/ Casters	http://www.stacksandstacks-static.com/images/product/1221865550-1779.jpg	90.99	"30""h x 19""w x 20.5""d"	Cedar	"This space-saving Tool Holder with casters keeps your hoes, rakes, brooms and shovels upright and easy to access in a compact amount of space. No more wondering which corner of the garage your hoe is hiding in! Constructed of solid cedar, its grid forms twelve individual storage slots. You can now store most of your garden tools in less than 3 square feet of floor space! Included hardware and pre-drilled holes ensure easy assembly. Two sizes of holes, six measuring 2.5"" x 4.5"" and six measuring 2.75"" x 5"" (12 holes total)."
2133	8271	Home Decor	Neon Clock	http://www.stacksandstacks-static.com/images/product/reg-1298911278-8271.jpg	60.99	"14""dia."	Chrome w/ Blue Neon	"<B>Rhapsody in Blue!</B> Stylize your home with this clock. The chrome finished rim and blue neon light add life to the game room, living room or kitchen. The hand blown neon light operates from a 110v power adapter (included) and the clock uses 2 AA batteries (not included)."
2139	8277	Home Decor	Flamingo	http://www.stacksandstacks-static.com/images/product/8277.jpg	60.99	"19""h x 7""w x 6""d"	Pink/Blue Neon	"For many years, New York and Las Vegas have lit up their vibrant night life with neon lamps and lighting. Light up your home the same way with the Flamingo Neon Sculpture. This artistic neon lamp features a pink and blue neon tube that is hand blown by skilled artisans, and uses just the right amount of noble gases to make the perfect lighting accent for residential applications."
2193	8342	Furniture	Chair Support	http://www.stacksandstacks-static.com/images/product/8341.jpg	28.99	"15""w x 14""d"	Almond	"The almond Chairmate softens any hard wooden chair with its unique tufted chair cushion design. The mate is made from high-quality, leather-look vinyl. It is heat sealed to 1.5"" of soft cushiony foam, using our patented process.  The vinyl top wipes clean easily with a dampened cloth. The mate has a non-skid backing that grips to the seat and stays in place without ties. "
2218	8356	Furniture	Chair Support	http://www.stacksandstacks-static.com/images/product/reg-8356.jpg	29.99	"17""w x 17.5""d"	Brown	"The brown Chairmaster chair support softens any hard wooden chair, rocker, or Adirondack chair with its unique tufted chair cushion design. The Chairmaster is made from high-quality, leather-look vinyl. It is heat sealed to 1.5"" of soft cushiony foam, using our patented process. The vinyl top wipes clean easily with a dampened cloth. The Chairmaster has a non-skid backing that stays in place without ties.  Please note: Actual colors may vary slightly from the pictures."
2248	8452	Kitchen	Jumbo Folding Shopping Cart - Blue	http://www.stacksandstacks-static.com/images/product/reg-1224898362-8452.jpg	47.99	"41.75""h x 24""w x 21""d (cart size)"	Blue Cart	"Speed up your shopping! This high-capacity foldable Blue Jumbo Shopping Cart will let you zip up and down supermarket aisles. This rolling cart is also useful for transporting large loads of laundry, picnic supplies, and just about anything else you need to haul. Sturdily constructed of metal coated with a highly durable epoxy finish, this utility cart rolls smoothly on solid rubber tires with steel spokes. Weighs only 15 lbs when empty - but can carry up to 150 lbs! Folds up easily for convenient storage. Dimensions when folded: 43""L x 19.5""W x 1.75""D.  Whether it's loaded up for a weekly shopping trip - or traveling to a picnic, you'll love the convenience of this Jumbo Shopping Cart.  This Cart is ideal for grocery shopping and laundry, saving energy and backaches, and is compatible with the ""Green Initiative""!  Dimensions:  Basket Size: 24""h x 17""w x 14.5""d Cart Size: 41.75""h x 24""w x 21""d Front Wheels:  6"" Rear Wheels:  10"""
2250	8454	Kitchen	Jumbo Folding Shopping Cart - Black	http://www.stacksandstacks-static.com/images/product/reg-1224898399-8454.jpg	47.99	"41.75""h x 24""w x 21""d (cart size)"	Black Cart	"Speed up your shopping! This high-capacity foldable Black Jumbo Shopping Cart will let you zip up and down supermarket aisles. This rolling cart is also useful for transporting large loads of laundry, picnic supplies, and just about anything else you need to haul. Sturdily constructed of metal coated with a highly durable epoxy finish, this utility cart rolls smoothly on solid rubber tires with steel spokes. Weighs only 15 lbs when empty - but can carry up to 150 lbs! Folds up easily for convenient storage. Dimensions when folded: 43""L x 19.5""W x 1.75""D.  Whether it's loaded up for a weekly shopping trip - or traveling to a picnic, you'll love the convenience of this Jumbo Shopping Cart.  This Cart is ideal for grocery shopping and laundry, saving energy and backaches, and is compatible with the ""Green Initiative""!  Dimensions:  Basket Size: 24""h x 17""w x 14.5""d  Cart Size: 41.75""h x 24""w x 21""d  Front Wheels:  6"" Rear Wheels:  10"""
2251	8455	Kitchen	Super Shopping Cart - Folding Grocery Cart - Red	http://www.stacksandstacks-static.com/images/product/reg-1224898620-8455.jpg	56.99	"41.75""h x 24""w x 21""d (cart size)"	Red Cart	"This high-capacity foldable Red Super Shopping Cart isn't just for trips to the supermarket. It's also useful for transporting large loads of laundry, picnic supplies, camping gear and just about anything else you need to haul. Sturdily constructed of metal coated with a highly durable epoxy finish, the Super Shopping Cart is reinforced with an ultra-strong 12"" x 10"" steel plate to provide exceptional structural support. Rolls smoothly on 1-inch-wide heavy-duty plastic wheels with solid rubber tires. Weighs only 20 lbs. but can carry up to 250 lbs! Folds up easily for convenient storage.  Running errands will be easy with this Super Shopping Cart.  This Cart is ideal for grocery shopping and laundry, saving energy and backaches, and is compatible with the ""Green Initiative""!  Dimensions:  Basket Size: 24""h x 17""w x 14.5""d  Cart Size: 41.75""h x 24""w x 21""d.  Front Wheels: 6""  Rear Wheels:  10"""
